epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,132.339,0.66667,0.79828,0.56056,1.00247,0.99138,1,0.995,0.89893,0.99138,1,0.995,0.8955,0.53802,0.73623,0.68058,0.66091,0.001406,0.001406,0.001406
62,134.319,0.71373,0.88251,0.64028,1.03146,0.99004,1,0.995,0.8803,0.99004,1,0.995,0.87675,0.57715,0.7597,0.93929,0.68171,0.0013961,0.0013961,0.0013961
63,136.274,0.65695,0.76018,0.58743,1.01436,0.99004,1,0.995,0.8803,0.99004,1,0.995,0.87675,0.57715,0.7597,0.93929,0.68171,0.0013862,0.0013862,0.0013862
64,138.253,0.58043,0.7103,0.56035,0.98611,0.98992,1,0.995,0.84144,0.98992,1,0.995,0.89364,0.58245,0.63341,0.95093,0.68337,0.0013763,0.0013763,0.0013763
65,140.218,0.76065,0.83723,0.69756,1.07056,0.98992,1,0.995,0.84144,0.98992,1,0.995,0.89364,0.58245,0.63341,0.95093,0.68337,0.0013664,0.0013664,0.0013664
66,142.186,0.68868,0.89667,0.64243,1.02912,0.98971,1,0.995,0.906,0.98971,1,0.995,0.88805,0.47193,0.58974,0.75294,0.63307,0.0013565,0.0013565,0.0013565
67,144.138,0.57752,0.73942,0.57793,0.97635,0.98971,1,0.995,0.906,0.98971,1,0.995,0.88805,0.47193,0.58974,0.75294,0.63307,0.0013466,0.0013466,0.0013466
68,146.123,0.70224,0.70407,0.8269,1.0611,0.99018,1,0.995,0.91557,0.99018,1,0.995,0.9184,0.56509,0.74163,0.54585,0.68944,0.0013367,0.0013367,0.0013367
69,148.092,0.65518,0.6531,0.64806,1.00911,0.99018,1,0.995,0.91557,0.99018,1,0.995,0.9184,0.56509,0.74163,0.54585,0.68944,0.0013268,0.0013268,0.0013268
70,152.42,0.67526,0.87397,0.62858,1.01903,0.99136,1,0.995,0.9174,0.99136,1,0.995,0.92913,0.601,0.76173,0.62792,0.7074,0.0013169,0.0013169,0.0013169
71,155.913,0.7339,0.91347,0.63657,1.01858,0.99136,1,0.995,0.9174,0.99136,1,0.995,0.92913,0.601,0.76173,0.62792,0.7074,0.001307,0.001307,0.001307
